,ID,Year,FileName
0,2018-1,2018,binns18a
1,2018-2,2018,buolamwini18a
2,2018-3,2018,chouldechova18a
3,2018-4,2018,barabas18a
4,2018-5,2018,ensign18a
5,2018-6,2018,speicher18a
6,2018-7,2018,madaan18a
7,2018-8,2018,kamishima18a
8,2018-9,2018,ekstrand18a
9,2018-10,2018,dwork18a
10,2018-11,2018,ekstrand18b
11,2018-12,2018,datta18a
12,2018-13,2018,menon18a
13,2018-14,2018,phillips18a
14,2018-15,2018,burke18a
15,2019-1,2019,3287560.3287592.txt
16,2019-2,2019,3287560.3287599.txt
17,2019-3,2019,3287560.3287568.txt
18,2019-4,2019,3287560.3287601.txt
19,2019-5,2019,3287560.3287596.txt
20,2019-6,2019,3287560.3287579.txt
21,2019-7,2019,3287560.3287571.txt
22,2019-8,2019,3287560.3287585.txt
23,2019-9,2019,3287560.3287561.txt
24,2019-10,2019,3287560.3287569.txt
25,2019-11,2019,3287560.3287600.txt
26,2019-12,2019,3287560.3287591.txt
27,2019-13,2019,3287560.3287580.txt
28,2019-14,2019,3287560.3287589.txt
29,2019-15,2019,3287560.3287576.txt
30,2019-16,2019,3287560.3287586.txt
31,2019-17,2019,3287560.3287566.txt
32,2019-18,2019,3287560.3287564.txt
33,2019-19,2019,3287560.3287584.txt
34,2019-20,2019,3287560.3287578.txt
35,2019-21,2019,3287560.3287583.txt
36,2019-22,2019,3287560.3287567.txt
37,2019-23,2019,3287560.3287587.txt
38,2019-24,2019,3287560.3287594.txt
39,2019-25,2019,3287560.3287595.txt
40,2019-26,2019,3287560.3287573.txt
41,2019-27,2019,3287560.3287588.txt
42,2019-28,2019,3287560.3287565.txt
43,2019-29,2019,3287560.3287577.txt
44,2019-30,2019,3287560.3287575.txt
45,2019-31,2019,3287560.3287570.txt
46,2019-32,2019,3287560.3287562.txt
47,2019-33,2019,3287560.3287563.txt
48,2019-34,2019,3287560.3287574.txt
49,2019-35,2019,3287560.3287597.txt
50,2019-36,2019,3287560.3287598.txt
51,2019-37,2019,3287560.3287572.txt
52,2019-38,2019,3287560.3287590.txt
53,2020-1,2020,3351095.3372877.txt
54,2020-2,2020,3351095.3372870.txt
55,2020-3,2020,3351095.3372874.txt
56,2020-4,2020,3351095.3372876.txt
57,2020-5,2020,3351095.3373152.txt
58,2020-6,2020,3351095.3372841.txt
59,2020-7,2020,3351095.3372831.txt
60,2020-8,2020,3351095.3372836.txt
61,2020-9,2020,3351095.3372863.txt
62,2020-10,2020,3351095.3372861.txt
63,2020-11,2020,3351095.3375783.txt
64,2020-12,2020,3351095.3372839.txt
65,2020-13,2020,3351095.3375709.txt
66,2020-14,2020,3351095.3372867.txt
67,2020-15,2020,3351095.3372842.txt
68,2020-16,2020,3351095.3372862.txt
69,2020-17,2020,3351095.3372850.txt
70,2020-18,2020,3351095.3372864.txt
71,2020-19,2020,3351095.3372879.txt
72,2020-20,2020,3351095.3372851.txt
73,2020-21,2020,3351095.3372853.txt
74,2020-22,2020,3351095.3375624.txt
75,2020-23,2020,3351095.3372849.txt
76,2020-24,2020,3351095.3372872.txt
77,2020-25,2020,3351095.3375623.txt
78,2020-26,2020,3351095.3372837.txt
79,2020-27,2020,3351095.3372843.txt
80,2020-28,2020,3351095.3372848.txt
81,2020-29,2020,3351095.3375234.txt
82,2020-30,2020,3351095.3372829.txt
